dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.9317129629629628,0.009140954281788976,0.9409722222222222,25.65202359983232,0.030250673178670695
Adiac,0.8436437074829932,0.009791612204869533,0.8526785714285714,18.042936934197012,0.022214269141386467
ArrowHead,0.8660239361702127,0.019792919972547895,0.8939494680851063,3.9657366666554785,0.008296988150808223
Beef,0.7444444444444445,0.015713484026367772,0.7666666666666667,2.016032033289472,0.0026273667951196935
BeetleFly,0.8833333333333333,0.04714045207910316,0.95,1.1271572002442554,0.0013937654959287709
BirdChicken,0.9500000000000001,0.04082482904638629,1.0,1.5375171664636582,0.001908297005532707
BME,0.9965277777777777,0.002455231879119974,1.0,2.0074363994256905,0.005247107032876859
Car,0.9055555555555556,0.007856742013183834,0.9166666666666666,4.6828134668370085,0.005758237238448298
CBF,0.9989583333333333,0.0,0.9989583333333333,1.293662600258055,0.016455244920659123
Chinatown,0.9921875,0.0,0.9921875,1.0033325333303462,0.007736553777249355
ChlorineConcentration,0.8484375000000001,0.006085063252889516,0.85625,22.016247533184167,0.1993074442715018
CinCECGTorso,0.8346748737373737,0.003254351324539607,0.8386994949494949,10.87443703362563,0.40916968476252197
Coffee,1.0,0.0,1.0,2.857363767378653,0.0016304651042749658
Computers,0.834051724137931,0.0030259681116189454,0.837823275862069,17.522447499873426,0.020666574998964887
CricketX,0.8720238095238096,0.005261211169542771,0.8794642857142857,23.630023467199255,0.028906727864826582
CricketY,0.875,0.0031567267017256736,0.8772321428571429,25.173591666311648,0.030789395832925948
CricketZ,0.8635912698412698,0.014835413123748205,0.8839285714285714,24.35896183375735,0.029832797523795307
Crop,0.7822005703422054,0.0008274945506882378,0.7833293726235742,167.83297699934337,0.4995186864622762
DiatomSizeReduction,0.9348749999999999,0.00255155181539918,0.938,1.6387434994491439,0.019420234506924317
DistalPhalanxOutlineAgeGroup,0.8420138888888888,0.002455231879119974,0.84375,6.258319466180789,0.0035330389338620685
DistalPhalanxOutlineCorrect,0.80625,0.00810092587300979,0.81375,10.584340766576739,0.006670868096080085
DistalPhalanxTW,0.7077020202020202,0.011612987461582815,0.7163825757575758,10.678513767158924,0.006045362890593727
Earthquakes,0.7225378787878788,0.004252586358998558,0.727746212121212,14.008428799958589,0.007436277734692946
