dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.9337384259259259,0.021266869010431677,0.9565972222222222,23.216773133315048,0.02761900859374104
Adiac,0.7923044217687075,0.025385448204671996,0.828125,18.659996966667677,0.02323489804690837
ArrowHead,0.8068484042553191,0.02368673249912108,0.8276817375886525,4.366378433347563,0.009170318619766249
Beef,0.7111111111111111,0.06285393610547094,0.8,2.4140228666668313,0.00318915598957877
BeetleFly,0.8999999999999999,0.04082482904638629,0.95,1.1191336333431536,0.0014013317708408597
BirdChicken,0.9166666666666666,0.023570226039551553,0.95,1.5376025999964138,0.001923027343759524
BME,0.9982638888888888,0.002455231879119974,1.0,1.703807500005496,0.004484370703115322
Car,0.8666666666666667,0.02721655269759086,0.9,4.986733633327579,0.006099478515665169
CBF,0.9996527777777778,0.0004910463758240158,1.0,1.6004335333345807,0.02080574414060739
Chinatown,0.9852430555555555,0.005351053822021694,0.9921875,1.0612750666562836,0.008452612239632154
ChlorineConcentration,0.7892361111111111,0.00817264048329158,0.8,21.473713566634007,0.19723362447917717
CinCECGTorso,0.709385521885522,0.044681032316998534,0.7524463383838383,12.324552733322585,0.4625899381511355
Coffee,1.0,0.0,1.0,2.3906722666627807,0.0013513579426861118
Computers,0.8361170977011495,0.004796889520972277,0.841729525862069,22.83707633333567,0.02709341223961322
CricketX,0.8315972222222222,0.011785321796147566,0.8482142857142857,26.25478963332959,0.03208438255203324
CricketY,0.8325892857142857,0.0145802960879951,0.8504464285714286,24.05545586663963,0.029466441406294546
CricketZ,0.8400297619047619,0.00947018010517697,0.853422619047619,23.23298330000277,0.02851189127602538
Crop,0.7739820975918884,0.0007551360885985985,0.7749524714828897,139.601189199983,0.43317048138015934
DiatomSizeReduction,0.95375,0.010972028830925849,0.967875,1.13199793331781,0.013598133984406976
DistalPhalanxOutlineAgeGroup,0.8454861111111112,0.004910463758239948,0.8489583333333334,9.260015666672794,0.005297840104115418
DistalPhalanxOutlineCorrect,0.8097916666666666,0.010462399607908087,0.8175000000000001,10.013253866670615,0.006349902213519461
DistalPhalanxTW,0.709753787878788,0.013229362114707027,0.7215909090909092,8.59499979998509,0.004947025130225787
Earthquakes,0.7427398989898989,0.018821973974330622,0.7623106060606061,19.575841333343607,0.01036450651042268
ECG200,0.9030671296296294,0.005684861893630956,0.9097222222222222,2.7358823666824414,0.00292903359378253
ECG5000,0.9411238262910798,0.0016910931964106344,0.9423415492957746,9.346993200012852,0.09827199114585028
ECGFiveDays,0.9981398809523809,0.0013919856349605534,1.0,1.3366787999851415,0.01826450299480579
ElectricDevices,0.7369021038834088,0.007507763434218988,0.7475173287123434,153.18664469999808,0.16513911236984313
EOGHorizontalSignal,0.6498842592592592,0.008868855578826721,0.662078373015873,65.87737976666419,0.07630142395830812
EOGVerticalSignal,0.5231068121693122,0.018768082150705162,0.5381944444444444,72.1568876666485,0.08357145130206334
EthanolLevel,0.9081530448717948,0.007536352150254053,0.9185697115384616,155.74231669998576,0.17716618489587196
