dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.890335648,0.010639338,0.903645833,25.1413667,0.02968856
Adiac,0.455994898,0.128713874,0.633290816,18.5840789,0.02292733
ArrowHead,0.683990839,0.152807747,0.848515071,4.868990101,0.010233437
Beef,0.444444444,0.041573971,0.5,2.236411866,0.002960749
BeetleFly,0.816666667,0.154560308,0.95,1.321352566,0.00165738
BirdChicken,0.816666667,0.11785113,0.9,1.3726886,0.001723167
BME,0.991319444,0.002455232,0.994791667,2.384607067,0.006314064
Car,0.422222222,0.007856742,0.433333333,4.560202,0.005627065
CBF,0.992013889,0.005468061,0.996875,2.0188993,0.026208209
Chinatown,0.978676027,0.006244373,0.986979167,1.384276533,0.010768877
ChlorineConcentration,0.687847222,0.031873364,0.732291667,22.10794647,0.201004821
CinCECGTorso,0.606455177,0.032036096,0.629892677,12.3374371,0.472132528
Coffee,1,0,1,4.1416079,0.002433189
Computers,0.826239224,0.016569896,0.849137931,27.80927903,0.033055903
CricketX,0.770337302,0.016861432,0.792410714,24.83458497,0.030521663
CricketY,0.758680556,0.048564269,0.803571429,24.59765293,0.030153019
CricketZ,0.772569444,0.052854737,0.837053571,25.7151164,0.031604417
Crop,0.762911914,0.001197419,0.764139734,174.6821242,0.515632827
DiatomSizeReduction,0.848041667,0.096287024,0.917,2.082477501,0.024937901
DistalPhalanxOutlineAgeGroup,0.822916667,0,0.822916667,8.011778233,0.004591417
DistalPhalanxOutlineCorrect,0.823541667,0.020222289,0.839375,17.78646207,0.011177517
DistalPhalanxTW,0.67282197,0.02253244,0.691287879,10.6270456,0.005971287
Earthquakes,0.741003788,0.033480435,0.788352273,17.75731453,0.009482952
ECG200,0.878761574,0.017652835,0.903645833,3.863045833,0.003970356
ECG5000,0.942473592,0.001699347,0.944674296,11.56055503,0.118796018
ECGFiveDays,0.995535714,0.003645074,1,2.279260867,0.031415673
ElectricDevices,0.736364747,0.00682795,0.744501466,146.1729474,0.156987577
EOGHorizontalSignal,0.635168651,0.0096583,0.64781746,72.5744717,0.08465964
EOGVerticalSignal,0.487268519,0.026760888,0.523933532,82.554884,0.096403274
EthanolLevel,0.290164263,0.023033484,0.308293269,70.97653343,0.08165197
FaceAll,0.813701923,0.007753398,0.824385684,17.12563437,0.052601917
FaceFour,0.646701389,0.269295962,0.947916667,1.577503133,0.005569785
FacesUCR,0.902777778,0.006495933,0.911458333,9.986710033,0.094704636
FiftyWords,0.547898065,0.034751883,0.595145089,28.48504863,0.034444474
Fish,0.906139184,0.026373337,0.926640071,15.58832773,0.019023545
FordA,0.958779762,0.002393321,0.962053571,165.3761886,0.07292619
FordB,0.851190476,0.008170837,0.86040522,246.3336668,0.066586148
FreezerRegularTrain,0.995383987,0.003118117,0.998958333,9.010599367,0.154477404
FreezerSmallTrain,0.775667211,0.019258345,0.802900327,3.4534933,0.132345714
Fungi,0.792923851,0.022492536,0.818606322,3.072376766,0.010864377
GunPoint,0.994791667,0.004252586,1,2.241653233,0.008684991
GunPointAgeSpan,0.967291667,0.007852444,0.977708333,7.508112699,0.015848285
GunPointMaleVersusFemale,0.985277778,0.020820366,1,5.672231566,0.011948684
GunPointOldVersusYoung,1,0,1,2.7506659,0.00582447
Ham,0.818724593,0.021661932,0.834984756,5.118143967,0.006243805
HandOutlines,0.888715278,0.043781597,0.947604167,472.1793842,0.202779619
Haptics,0.450400641,0.012390629,0.467548077,30.0627689,0.067713335
Herring,0.625,0.022097087,0.65625,3.224715667,0.003934639
HouseTwenty,0.949289773,0.030945703,0.981818182,9.6961301,0.032198666
InlineSkate,0.275858918,0.034271077,0.320449561,31.43170373,0.193389152
InsectEPGRegularTrain,1,0,1,2.792314033,0.013147929
InsectEPGSmallTrain,1,0,1,1.2624033,0.014478489
InsectWingbeatSound,0.612634409,0.008866427,0.623689516,10.5120872,0.092169691
ItalyPowerDemand,0.969362745,0.003032933,0.973345588,3.640351433,0.040003933
LargeKitchenAppliances,0.907859848,0.007898072,0.918844697,27.31184683,0.032418496
Lightning2,0.792349727,0.067370645,0.868852459,6.8889232,0.00868547
Lightning7,0.700810185,0.103693789,0.819444444,5.2310345,0.00638694
