dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.9010416666666666,0.005652368262534604,0.9053819444444444,9.028999220044351,0.011434304921885996
Adiac,0.7918367346938775,0.010339503175001812,0.8013392857142857,9.677934479989926,0.01407582195316195
ArrowHead,0.8492021276595743,0.01699427273027605,0.8812056737588652,1.6976869400168653,0.004383822265555182
Beef,0.76,0.03887301263230205,0.8,1.2859771600255043,0.0019777776561909375
BeetleFly,0.93,0.039999999999999994,0.95,0.6120004000040353,0.0009421479687489409
BirdChicken,0.89,0.020000000000000018,0.9,0.8580525599958492,0.00131639460935844
BME,0.9958333333333333,0.003897559777889514,1.0,1.1381598000181838,0.003661550000072111
Car,0.8766666666666666,0.02000000000000001,0.9,2.697777040017536,0.0037116007811903275
CBF,0.9985416666666665,0.0005103103630797998,0.9989583333333333,1.074922939998214,0.017761033125015046
Chinatown,0.9921875,0.0,0.9921875,0.5774187199960579,0.004866254374883283
ChlorineConcentration,0.8260937499999998,0.006222596172418721,0.8372395833333334,11.289473940011522,0.11909870882803944
CinCECGTorso,0.8388415404040405,0.009356621827453943,0.8550347222222222,5.181266080019123,0.2025460298438418
Coffee,1.0,0.0,1.0,1.4068762600043556,0.0010479596093318833
Computers,0.8287446120689657,0.007925296749705829,0.8413254310344828,7.884157980022428,0.010249910078067614
CricketX,0.8389880952380953,0.007966523103764387,0.8526785714285714,11.299363720000837,0.015767892578105604
CricketY,0.86875,0.008158779858257643,0.8772321428571429,10.804131920044892,0.01506368765641355
CricketZ,0.8577380952380953,0.014143951877624373,0.875,10.297539920007694,0.014388200234446914
Crop,0.7795627376425855,0.0015970748701252464,0.782319391634981,110.77887479996862,0.336873139843857
DiatomSizeReduction,0.95475,0.01140148016706602,0.975,0.7851171199959935,0.009319834609522104
DistalPhalanxOutlineAgeGroup,0.8395833333333332,0.0038975597778895146,0.84375,3.8542652399788495,0.0023448467969103604
DistalPhalanxOutlineCorrect,0.8318750000000001,0.004677071733467413,0.83625,7.239903139989474,0.004905130156294036
DistalPhalanxTW,0.7335227272727274,0.014871947295000425,0.7518939393939394,4.804698419997294,0.00293031312498897
Earthquakes,0.7357007575757576,0.011760738406257671,0.7580492424242425,6.548086319991853,0.003976195312424125
ECG200,0.906076388888889,0.013351134673423888,0.9253472222222222,1.2855017199923169,0.00162241062498083
ECG5000,0.9450792253521128,0.0007303686096017901,0.9463028169014085,6.665346460000729,0.08233665742181984
ECGFiveDays,0.9982142857142857,0.001513912942661893,1.0,0.7611838999699103,0.012722342578138068
ElectricDevices,0.752500166622234,0.0024664050417200433,0.7562191748866969,97.4795348799831,0.11215825546871087
EOGHorizontalSignal,0.6587549603174603,0.008994260670530321,0.6690228174603176,31.03919331998477,0.03809639500010462
EOGVerticalSignal,0.5002728174603174,0.004332404991334999,0.5073164682539683,26.355011840003137,0.03234544140627236
EthanolLevel,0.7606370192307692,0.0035672522122733256,0.7639723557692307,66.69226780001482,0.07926491570318035
FaceAll,0.9039975071225073,0.019494012973727902,0.9369212962962963,6.435913940001046,0.023588443671968662
FaceFour,0.9625,0.011831059053750535,0.9765625,0.6702443599802791,0.0025296199218814764
FacesUCR,0.9668560606060606,0.002220840795370958,0.9696969696969697,4.34853910002712,0.048083445468699894
FiftyWords,0.6369419642857143,0.009154847593199969,0.6534598214285714,13.23594512000127,0.01845322328125576
Fish,0.9895833333333334,0.0032940392293420505,0.9947916666666666,5.252578580012778,0.007216147734322931
FordA,0.9642857142857142,0.0008150633296208003,0.9657738095238095,120.72978393999074,0.05836695203120712
FordB,0.8609088827838829,0.0022010788113309586,0.8640682234432234,116.04417604000628,0.03442886124997813
FreezerRegularTrain,0.9991666666666668,0.0002777777777777768,0.9993055555555556,3.415725799987558,0.06709033460939509
FreezerSmallTrain,0.8698733660130719,0.004408491735584435,0.8754289215686274,2.313856699995813,0.10529776484381159
Fungi,0.9875,0.005311478659992492,0.9947916666666666,1.4827329200095847,0.006406425468804855
GunPoint,0.9958333333333332,0.0020833333333333485,1.0,0.7232524999810266,0.0030834579688644227
GunPointAgeSpan,0.9893333333333334,0.0038060624155564224,0.99375,3.3374748200003523,0.008388787968777933
GunPointMaleVersusFemale,0.999375,0.0012500000000000178,1.0,2.561970299993118,0.006445088281157041
GunPointOldVersusYoung,1.0,0.0,1.0,1.4099577399989358,0.0035356336718621153
Ham,0.8130335365853657,0.018012414051751725,0.8462271341463414,2.5312812199961625,0.0035141489063619247
HandOutlines,0.9144166666666667,0.003148936107816578,0.9170833333333333,197.87822691998736,0.08765409632809451
Haptics,0.58375,0.008899556617504393,0.596875,12.278539940009068,0.029337870156166446
Herring,0.7125,0.01593443597997745,0.734375,1.867538899986539,0.002558738906242297
HouseTwenty,0.9423011363636364,0.00645918027415627,0.9480113636363636,3.9730735399920376,0.013815015234337124
InlineSkate,0.4162463450292398,0.004021132321483937,0.42351973684210525,12.3018598200244,0.07862897789065074
InsectEPGRegularTrain,1.0,0.0,1.0,1.087922439997783,0.0056865421875045286
InsectEPGSmallTrain,1.0,0.0,1.0,0.5074641800165409,0.005606049999971674
InsectWingbeatSound,0.6351612903225806,0.003843275254750635,0.639986559139785,5.000820980011485,0.0510592719530905
ItalyPowerDemand,0.9746323529411764,0.0007352941176470617,0.9751838235294118,1.493776839999191,0.017390503359348487
LargeKitchenAppliances,0.9071306818181817,0.004196326084279146,0.9132102272727273,17.33764295995643,0.022495487578169104
Lightning2,0.8327868852459016,0.016062227821529027,0.8524590163934426,2.4040992199486935,0.0033471297655125907
