train,test
1,0.771090779
1,0.77019962
1,0.769367871
1,0.771566065
1,0.769902567
1,0.770556084
1,0.771090779
1,0.770615494
1,0.771447243
1,0.770853137
1,0.770140209
1,0.771922529
1,0.772160171
1,0.771922529
1,0.77019962
1,0.771447243
0.999861726,0.769130228
1,0.770318441
1,0.769427281
1,0.770615494
1,0.771447243
1,0.772516635
1,0.772576046
1,0.771566065
0.999861726,0.770437262
1,0.769070817
1,0.771031369
1,0.770912548
1,0.770853137
1,0.771209601
1,0.768179658
1,0.770912548
1,0.770021388
1,0.771031369
1,0.77210076
1,0.771090779
1,0.770971958
1,0.771387833
1,0.771031369
1,0.772576046
1,0.77019962
1,0.769367871
1,0.772278992
1,0.770853137
1,0.770437262
1,0.767763783
0.999446903,0.769011407
0.998340708,0.771922529
1,0.770437262
1,0.771090779
1,0.772338403
1,0.77019962
1,0.773051331
1,0.771744297
1,0.771447243
1,0.772219582
1,0.771981939
1,0.771269011
1,0.771566065
1,0.771387833
1,0.770674905
1,0.77115019
1,0.769546103
1,0.771031369
1,0.771744297
1,0.770971958
1,0.771684886
1,0.772338403
1,0.77299192
1,0.771744297
1,0.772813688
1,0.772278992
1,0.771506654
1,0.771447243
1,0.771922529
1,0.77025903
1,0.771209601
0.999861726,0.768298479
1,0.769486692
1,0.769070817
1,0.769070817
1,0.770140209
1,0.769367871
1,0.770140209
1,0.769843156
1,0.768298479
1,0.768833175
1,0.77025903
1,0.770853137
1,0.770318441
1,0.770021388
1,0.770734316
1,0.769605513
1,0.769249049
1,0.770912548
1,0.769961977
1,0.768833175
1,0.772160171
1,0.771090779
1,0.769961977
1,0.769664924
1,0.771447243
1,0.771328422
1,0.771447243
1,0.770912548
1,0.770496673
1,0.770615494
1,0.77019962
1,0.770674905
1,0.77115019
1,0.77115019
1,0.769843156
0.999861726,0.767526141
0.999723451,0.77115019
0.999861726,0.767347909
1,0.768298479
1,0.770793726
1,0.770853137
1,0.768298479
1,0.77204135
1,0.768298479
1,0.768179658
1,0.771447243
1,0.769783745
1,0.770556084
1,0.771744297
0.999861726,0.770674905
1,0.769843156
1,0.770912548
1,0.771269011
1,0.770793726
1,0.772278992
1,0.769724335
1,0.771387833
1,0.769130228
1,0.77019962
1,0.769605513
1,0.768654943
1,0.769843156
1,0.770912548
1,0.769902567
1,0.770734316
1,0.770793726
1,0.77115019
1,0.770615494
1,0.770912548
1,0.769664924
1,0.769724335
1,0.770437262
1,0.770021388
1,0.771506654
1,0.770556084
1,0.770793726
0.999861726,0.770734316
1,0.770496673
1,0.770080798
1,0.770080798
1,0.770971958
1,0.771981939
1,0.771387833
1,0.770556084
1,0.77115019
1,0.77019962
1,0.770615494
1,0.770437262
1,0.771566065
1,0.771566065
1,0.772397814
1,0.771447243
1,0.770971958
1,0.771209601
1,0.772457224
1,0.771209601
1,0.771625475
1,0.771744297
1,0.769961977
1,0.769783745
1,0.770912548
1,0.769189639
1,0.77019962
1,0.771031369
1,0.771328422
1,0.77019962
1,0.771684886
1,0.770080798
1,0.770377852
1,0.772219582
1,0.770140209
1,0.769605513
1,0.770318441
1,0.771981939
1,0.77210076
1,0.769605513
1,0.770080798
1,0.770615494
1,0.770734316
1,0.768892586
1,0.77025903
1,0.769724335
1,0.771328422
1,0.769546103
1,0.77025903
1,0.771031369
1,0.76930846
1,0.771209601
1,0.770853137
1,0.771447243
1,0.769902567
1,0.771090779
1,0.771031369
1,0.770021388
1,0.770377852
1,0.770734316
1,0.769427281
1,0.770437262
1,0.771328422
1,0.768476711
1,0.771387833
1,0.772160171
